Anduril USB Hub,,,,,,,,,,,,,,,,,,,,
Assembly,Description/Use,Manufactuer,Manufactuerer PN,Vendor,Vendor PN,Qty Needed per 1 Assy,Qty Needed per 25 Assy,Qty per 1 Order,Cost per 1 Order,Qty ordered,Total Qty ordered,Cost ext,Link,Package/Footprint,Datasheet,Notes,Order #,Tracking #,Status,ETA
PCB Component,1uF Capacitor,Samsung Electro-Mechanics,CL21B105KBFNNNE,LCSC,C28323,3,75,50,0.43,2,100,0.86,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL21B105KBFNNNE_C28323.html,0805,https://datasheet.lcsc.com/lcsc/1810191216_Samsung-Electro-Mechanics-CL21B105KBFNNNE_C28323.pdf,-,,,,
PCB Component,4.7uF Capacitor,Samsung Electro-Mechanics,CL21A475KAQNNNE,LCSC,C1779,3,75,50,0.5,2,100,1,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL21A475KAQNNNE_C1779.html,0805,https://datasheet.lcsc.com/lcsc/1810261822_Samsung-Electro-Mechanics-CL21A475KAQNNNE_C1779.pdf,-,,,,
PCB Component,500mA Fuse,Brightking,SMD0805B050TF,LCSC,C269104,1,25,20,0.42,2,40,0.84,https://www.lcsc.com/product-detail/Resettable-Fuses_Brightking-SMD0805B050TF_C269104.html,0805,https://datasheet.lcsc.com/lcsc/1808280424_Brightking-SMD0805B050TF_C269104.pdf,-,,,,
PCB Component,350mA Fuse,Brightking,SMD0805B035TF,LCSC,C269103,3,75,20,0.46,4,80,1.84,https://www.lcsc.com/product-detail/Resettable-Fuses_Brightking-SMD0805B035TF_C269103.html,0805,https://datasheet.lcsc.com/lcsc/1809031617_Brightking-SMD0805B035TF_C269103.pdf,-,,,,
PCB Component,TVS Diode,TECH PUBLIC,USBLC6-2SC6,LCSC,C2827654,4,100,10,0.66,10,100,6.6,https://www.lcsc.com/product-detail/ESD-Protection-Devices_TECH-PUBLIC-USBLC6-2SC6_C2827654.html,SOT-23-6,https://datasheet.lcsc.com/lcsc/2108132230_TECH-PUBLIC-USBLC6-2SC6_C2827654.pdf,-,,,,
PCB Component,USB A Connector,Jing Extension of the Electronic Co,912-221A1011D10100,LCSC,C42459,2,50,10,0.47,6,60,2.82,https://www.lcsc.com/product-detail/USB-Connectors_Jing-Extension-of-the-Electronic-Co-912-221A1011D10100_C42459.html,Connector,https://datasheet.lcsc.com/lcsc/2102261734_Jing-Extension-of-the-Electronic-Co--912-221A1011D10100_C42459.pdf,-,,,,
PCB Component,USB C Connector,Korean Hroparts Elec,TYPE-C-31-M-12,LCSC,C165948,2,50,5,1.14,11,55,12.54,https://www.lcsc.com/product-detail/USB-Connectors_Korean-Hroparts-Elec-TYPE-C-31-M-12_C165948.html,Connector,https://datasheet.lcsc.com/lcsc/2205251630_Korean-Hroparts-Elec-TYPE-C-31-M-12_C165948.pdf,-,,,,
PCB Component,600Ohm Ferrite Bead,Sunlord,GZ2012D601TF,LCSC,C1017,1,25,50,0.45,1,50,0.45,https://www.lcsc.com/product-detail/span-style-background-color-ff0-Ferrite-span-Beads_Sunlord-GZ2012D601TF_C1017.html,0805,https://datasheet.lcsc.com/lcsc/2109181830_Sunlord-GZ2012D601TF_C1017.pdf,-,-,-,,
PCB Fab,PCB Board + Stencil,JLCPCB,-,JLCPCB,-,1,25,1,56.54,25,25,56.54,-,-,-,56.54 + 28.8 shipping = 85.43,W202212201815804,Link,Ordered 12/20,12/29
Hardware,M2 Heat Set Insert,ShineNow,-,Amazon,B09ZNG1V6T,3,75,70,8.99,1,70,8.99,https://www.amazon.com/gp/product/B09ZNG1V6T/ref=ppx_yo_dt_b_asin_title_o00_s00?ie=UTF8&th=1,-,,used some from existing stock,114-2058126-3149821,,Ordered 12/23,12/31
Hardware,M2x4mm SHCS,-,-,Anduril,-,2,50,100,15.76,1,100,15.76,-,-,-,pricing from McMaster,-,-,,
