Designator,Value
"C1, C3, C6, C8, C9, C11, C12, C13, C14, C15, C16, C18, C19, C22, ",.1uF
"C2, C7, C21, ",1uF
"C4, C5, ",8pF
"C10, C17, C20, ",4.7uF
"F1, ",500mA
"F2, F3, F4, ",350mA
"FB1, ",600Ohm
"R1, R2, ",5k1Ohm
"R3, ",12kOhm
"R4, R5, R9, R10, ",1MOhm
"R6, ",50kOhm
"R7, ",100kOhm
"R8, ",10kOhm
"U1, U3, U4, U5, ",USBLC6-2SC6
"U2, ",USB4604-1080HN
"Y1, ",24MHz
